model,session,trial_number,state,p_state0,p_state1,p_state2,p_go,actual_choice,pupil_zscore,stim_strength
Original,243-R-mPFC-S1-NE_2023_01_20,9,2,0.002252736133663273,0.005904816734720365,0.9918424471316191,0.2685001239933352,1,-0.7098104213684371,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,10,2,0.003716336382602065,0.003460807351050789,0.9928228562663441,0.9999310381065832,1,-1.0021644438316533,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,11,2,0.010709050966198614,0.001023261113723026,0.9882676879200791,0.0965173461439162,0,-0.5472766144495019,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,12,2,0.01474881394689133,0.0003057433547253972,0.9849454426983856,0.2799476396260412,0,-0.8381880822453868,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,13,2,0.013855998496086637,0.00012003565990528283,0.9860239658440066,0.11163612949500368,0,-0.9097008221912082,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,14,2,0.00994843895896459,7.235087088671903e-05,0.9899792101701496,0.19355042190170832,0,-1.0576715961073475,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,15,2,0.0021659702076137185,6.77133614232573e-05,0.9977663164309616,0.9755528447992919,1,-0.8055489368831076,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,16,2,0.002412257923443308,6.022891947134549e-05,0.9975275131570854,0.9999260608343352,1,-0.8466285658138418,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,17,2,0.00597667894623446,4.934248487250811e-05,0.9939739785688945,0.2762253283501423,0,-0.796808081776815,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,18,2,0.005271204425386346,6.143056765659567e-05,0.9946673650069536,0.12776458514198538,0,0.044272746638229984,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,19,2,0.0012760190069546712,0.00010803150212563654,0.9986159494909195,0.5961598838411388,1,-1.2237204588872106,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,20,2,0.0011160953703248236,0.00013332296970055283,0.9987505816599752,0.3147405509103385,1,-1.2101528390239231,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,21,2,0.002010962191207695,0.00012313196938903276,0.9978659058394023,0.9999999993284658,1,-0.8347328645002835,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,22,2,0.0015015891622659077,0.00010909371937365944,0.9983893171183618,0.9999317319586445,1,-1.0247338135438187,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,23,2,0.002338131504522027,9.156486186281619e-05,0.9975703036336157,0.999999999217239,1,-0.49269553307629904,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,24,2,0.0021783016332282278,7.020091874835979e-05,0.9977514974480264,0.9999266899462107,1,-0.8656997387520828,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,25,2,0.0047528864610504335,4.5424478990441614e-05,0.9952016890599598,0.9999999992761837,1,-0.667415229030045,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,26,2,0.007257574595484823,1.6901395001671166e-05,0.9927255240095147,0.184071314592094,0,-0.9195278636545332,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,27,2,0.006194604529645855,1.093405144168375e-05,0.9937944614189117,0.09134132600928303,0,-0.41151710361617727,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,28,2,0.002141296434483548,1.257342127130764e-05,0.9978461301442467,0.9999177307659328,1,-0.6083647141106253,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,29,2,0.0017465863331876876,1.08111405077992e-05,0.9982426025263016,0.9754340287865058,1,-0.7944570112088155,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,30,2,0.007861575340813668,5.8795517663746166e-06,0.9921325451074205,0.16752646879584737,0,-0.6645406891149158,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,31,2,0.010379826614699016,6.67870280757462e-06,0.9896134946824947,0.10111486531275221,0,-0.6625133672044852,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,32,2,0.009903253719794732,1.4197623341065977e-05,0.9900825486568635,0.9999999992728636,1,-0.6572022539671468,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,33,2,0.010311683173724212,1.820949998412082e-05,0.9896701073262886,0.08335181960776139,0,-0.18770531957509287,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,34,2,0.007784826029680652,3.589530808813303e-05,0.9921792786622324,0.18147050178719015,0,-0.8806679195844754,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,35,2,0.001582847380274861,0.00010828272601487347,0.9983088698937136,0.9998961093181383,1,-0.08756460494238537,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,36,2,0.0004443263546821571,0.00017789422317353385,0.9993777794221412,0.5370194221509627,1,-0.6855641893049331,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,37,2,0.0004477411443675543,0.000214315749955655,0.9993379431056745,0.24781452499772952,1,-0.46865917119813844,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,38,2,0.00033740242404969894,0.00019854672419893676,0.9994640508517479,0.9754903079306827,1,-0.7997043483177274,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,39,2,0.0008949584649621325,0.00018024418338048037,0.9989247973516583,0.5392581779569341,1,-0.7056662044126433,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,40,2,0.005406248963210618,0.0001366754146369428,0.9944570756221559,0.1671378530292671,0,-0.6583161488804171,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,41,2,0.006440165360184484,0.00013842666709374519,0.9934214079727204,0.2944270797493476,0,-0.9960650766278135,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,42,2,0.0030594613918463885,0.00019436004552816569,0.996746178562624,0.29481664132028457,1,-1.0002484545583952,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,43,2,0.0038271522197538556,0.00019804740203223739,0.9959748003782142,0.16275044149295312,0,-0.5872250223389404,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,44,2,0.001230856282100452,0.0002611223890666511,0.9985080213288334,0.11156626752859504,1,1.6839128252110314,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,45,2,0.0021750979263220225,0.00023748789032539572,0.9975874141833496,0.9999999993505904,1,-0.9094981200494421,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,46,2,0.0017293112497145833,0.00020979059554142939,0.9980608981547432,0.9999342859823841,1,-1.1098334863038253,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,47,2,0.0028199252408435283,0.00017856021486533743,0.9970015145442911,0.057978627980643106,0,1.9793524091785475,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,48,2,0.0009126687010141558,0.00016976062724614378,0.998917570671737,0.9999118381614799,1,-0.4539685326228543,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,49,2,0.0004272315909269189,0.00015755610100910616,0.9994152123080644,0.5304402708999513,1,-0.626563772027865,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,50,2,0.000960039375263205,0.0001223916876494074,0.9989175689370858,0.9999269495995249,1,-0.8736187373160922,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,51,2,0.0023247459303041727,8.374169303906433e-05,0.9975915123766549,0.09760734404302553,0,-0.57503275967117,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,52,2,0.0006609448231287429,8.038733155428571e-05,0.9992586678453178,0.5398634208367459,1,-0.7111031498119573,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,53,2,0.0010181572655411514,6.133609454583219e-05,0.9989205066399102,0.5822881342103906,1,-1.0958070051549116,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,54,2,0.004780213009434173,2.4557622076074018e-05,0.9951952293684907,0.1727594996947096,0,-0.7472591701070309,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,55,2,0.005082856253294086,1.6302043865775505e-05,0.9949008417028428,0.15290798801288127,0,-0.42192493741614023,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,56,2,0.002010024946226538,1.881857977202471e-05,0.9979711564739984,0.9772320184959571,1,-0.9681924518058864,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,57,2,0.004451413900581489,1.8174908735826835e-05,0.9955304111906828,0.17963674086477413,0,-0.8530076142187042,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,58,2,0.003445889846641211,3.214271166580876e-05,0.9965219674416921,0.99999999933795,1,-0.8664765874274131,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,59,2,0.0016070177028592013,4.246217778217424e-05,0.9983505201193591,0.9999143755014058,1,-0.5191463069762309,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,60,2,0.002200958141698551,4.938746508177504e-05,0.9977496543932195,0.9999999986809962,1,0.6718215802544555,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,61,2,0.0029831966147136064,5.265331133163331e-05,0.9969641500739521,0.9999999987036556,1,0.6331493596280755,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,62,2,0.004482906844461248,5.2275203136499175e-05,0.9954648179524037,0.11076430870733447,0,0.4060057332798561,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,63,2,0.002794105924811678,6.99369941656431e-05,0.9971359570810245,0.21403998949886746,1,-0.043650617410730536,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,64,2,0.005927047507240171,5.449233451777311e-05,0.9940184601582439,0.999999999291761,1,-0.7159687169250359,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,65,2,0.009367146317984765,3.538685729873569e-05,0.9905974668247175,0.12583189153616153,0,0.08322929407542336,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,66,2,0.009478990430987556,3.356749160155611e-05,0.9904874420774131,0.9681424058847022,1,-0.19765977895850453,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,67,2,0.04397525046708152,2.925474428913463e-05,0.9559954947886272,0.10107196883126246,0,-0.6614598972629523,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,68,2,0.075616713243465,4.069590737302909e-05,0.9243425908491627,0.17875946708333018,0,-0.8396968798479209,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,69,2,0.101762048653538,9.332360725970927e-05,0.8981446277392057,0.16839372536625882,0,-0.6783902513163745,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,70,2,0.12298233516910863,0.0002895357616968631,0.8767281290691934,0.9998997279830889,1,-0.16669251515522643,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,71,2,0.26860471377344636,0.00048476796823795036,0.7309105182583143,0.9999999990644466,1,-0.09475709052970563,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,72,0,0.5410449854097913,0.0006765691558813874,0.45827844543432894,0.021013618459897396,0,1.4929235354978572,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,73,0,0.7447020599511459,0.0010896649594277859,0.2542082750894265,0.04039958481265076,0,-0.28228529135164154,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,74,0,0.9506490337698903,0.002388780583938199,0.046962185646174104,0.011832997229911954,0,4.946555503272011,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,75,2,0.6426864054327779,0.0023757602820127463,0.3549378342852099,0.07422888933076095,0,0.09308922052668761,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,76,2,0.33865304818839337,0.002553875813393492,0.658793075998214,0.07027640808667251,0,0.22471009994244293,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,77,2,0.03750670416967445,0.0034886226975399193,0.9590046731327867,0.5193356878055121,1,-0.5271845493035137,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,78,2,0.0019439838263731499,0.004311751284405176,0.993744264889219,0.940504092394641,1,1.2609750698188047,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,79,2,0.000898447764028063,0.005227954339999108,0.9938735978959721,0.9779404445167126,1,-1.0403526642995569,0.25
